DATA;ESN;MLP;RF;XGBoost;WSB
2023-11-30;5729.62269913532;6304.916253336619;5786.078606981254;5021.2505;5021.25046223402
2023-12-31;5360.200083094551;6008.029629229384;5673.941728674376;4906.612;4958.008435504887
2024-01-31;3788.024572203821;4673.244178871874;5586.077587445235;4559.546;4569.118468697959
2024-02-29;2690.050312379727;5611.174738611852;4917.803985321238;5427.8315;5400.32662725911
2024-03-31;3590.0862671905115;6036.479995973406;5741.10244296009;5258.408;5399.938695554886
2024-04-30;3557.926794225933;6584.637875902317;5741.794913452562;6126.973;6137.144886899447
2024-05-31;2822.3298153946557;6949.491898782475;4454.223196817802;4674.5234;4618.880086259019
2024-06-30;2043.3403584981472;5750.813136030522;3375.997561050061;3511.7703;3471.7611760997174
2024-07-31;2995.800812798115;4830.794944132719;3180.6256664631665;3704.2866;3427.6506017233505
2024-08-31;3972.7686128500313;5078.165862734348;5385.053402755655;5120.8345;5176.793613131177
2024-09-30;3059.793369002115;5792.697886158366;5153.012130879384;5876.5244;5649.949152097928
2024-10-31;2611.1507587766873;6083.589754222872;5122.973465840719;5604.4224;5603.718013392902
