DATA;ESN;MLP;RF;XGBoost;WSB-LOCAL
2023-11-30;21891.274879897024;28462.00688443916;26663.82491746271;24784.584;24784.58396911621
2023-12-31;32601.95766460318;31759.659957473064;29983.244370629374;28185.566;28186.45913351883
2024-01-31;23497.271256963853;20039.131271053877;29557.045721408216;22773.895;22774.256934987563
2024-02-29;30122.431208164362;31903.247280124546;28233.60237778018;25660.305;25663.65127953162
2024-03-31;38059.638597852376;30606.172660647153;32699.90868437118;31659.137;31660.17696767199
2024-04-30;24383.503193483637;28903.872578191047;34048.76326414326;36095.746;36086.75700336402
2024-05-31;20318.15912560381;25251.96921291413;23122.65883061383;20181.186;20185.597951058342
2024-06-30;17522.158176836463;18578.04993849236;17822.818481469512;16372.732;16375.27054657797
2024-07-31;9916.449438866424;13843.300420179388;17062.098377145732;15578.339;15574.869136736661
2024-08-31;19964.123790946855;14901.307205305216;18264.399333857862;18409.75;18409.42237010195
2024-09-30;20442.813003222178;23296.615779802156;22918.111341050015;23379.348;23378.66848986205
2024-10-31;20034.83044978925;22838.26708018789;22127.52348503348;22730.65;22729.968023627385
