DATA;ESN;MLP;RF;XGBoost;WSB
2023-11-30;9946.479881955349;10822.414290557323;9678.315956543456;10541.798;10541.79764944315
2023-12-31;8210.71007332366;10238.536645914197;9678.315956543456;10340.744;10319.880879514467
2024-01-31;5562.903564907988;7468.583167553669;8221.944432974435;6613.42;6683.420137690749
2024-02-29;5960.703250174247;7274.388443504418;6186.464245199245;6317.943;6277.938132770486
2024-03-31;8442.129319324238;8513.681098901554;8266.602634032635;6696.607;7256.785451405798
2024-04-30;8307.026737602682;8788.707156445847;8346.155464720465;7007.3926;7547.314488794718
2024-05-31;8510.603766091977;10289.88847762329;8346.155464720465;6840.2695;7620.247936575213
2024-06-30;4787.090395034385;9411.113756305298;6273.971656524303;5452.2075;5482.126856022984
2024-07-31;6775.267822466242;8492.365965741543;6422.9378181404645;5598.9478;6253.897713093574
2024-08-31;8299.428602804941;7765.998631612271;8452.422713397713;7407.6133;7868.127525295879
2024-09-30;6948.580782200461;9478.636173631248;8346.155464720465;6946.177;7328.821604375893
2024-10-31;6850.020441803513;9341.680236090053;8240.501377696377;7936.1846;8073.19027819169
